temperature,total_energy,specific_heat,magnetization_per_site,magnetic_susceptibility
0.96,-2589.3746666666666,0.018133071785897875,0.999484773662446,0.0011586926732087832
0.975,-2589.0108,0.020112945533324125,0.9994131687241596,0.0013037796447872114
0.99,-2588.582266666667,0.022091182585664174,0.9993292181068605,0.0014532099580416063
1.005,-2588.167066666667,0.024174386901217603,0.9992456790121981,0.0016289170520612734
1.02,-2587.6612,0.027011523464419245,0.9991450102879068,0.0018553230159730726
1.035,-2587.2152,0.02862734139525848,0.9990557098763707,0.0020057607655472693
1.05,-2586.5990666666667,0.03136198067150812,0.9989332304524857,0.002239517432986052
1.065,-2585.8777333333333,0.0347838063014421,0.9987873971191367,0.00253986028459082
1.08,-2585.12,0.03789649274368847,0.9986345679010111,0.0028377793499068105
1.095,-2584.430533333333,0.040740732835837554,0.9984958847734328,0.0031050933437402456
1.1099999999999999,-2583.5806666666667,0.04414534626916863,0.9983227366252722,0.0034443359566428806
1.125,-2582.618933333333,0.04742422691468167,0.998129475308381,0.003758519619054823
1.14,-2581.7242666666666,0.05182077102176063,0.9979495884771051,0.0041830329051110934
1.155,-2580.758,0.05441673813868555,0.997750154320718,0.004505445298628521
1.17,-2579.6304,0.05875970439138862,0.9975184670779286,0.004944942866872501
1.185,-2578.5109333333335,0.06220924136906298,0.9972870370367652,0.005389130635256006
1.2,-2577.195333333333,0.06748684246941557,0.9970195987651688,0.005927933260383433
1.2149999999999999,-2575.9388,0.07207851505392691,0.9967583333330831,0.006453825904865577
1.23,-2574.4398666666666,0.07635819468797661,0.9964532921808301,0.006932074800151854
1.2449999999999999,-2572.870266666667,0.08163174916678866,0.9961229423866109,0.007629153634272667
1.26,-2571.348,0.08629298099384272,0.9958065843619199,0.008241801362984802
1.275,-2569.6865333333335,0.0903654365200689,0.995457870370188,0.00875934443032336
1.29,-2567.647466666667,0.09771417747937981,0.9950321502055988,0.009669823338704971
1.305,-2565.6849333333334,0.10364609001928228,0.9946115226335989,0.010602458975324582
1.3199999999999998,-2563.7210666666665,0.11000580956091693,0.9942034465019406,0.01130528742188714
1.335,-2561.6612,0.1150193961670252,0.993768569958737,0.012167025497960554
1.3499999999999999,-2559.274,0.12264678092240103,0.9932580761316129,0.01325052080517253
1.365,-2556.7304,0.1269390079050434,0.9927113683126968,0.01394607118231105
1.38,-2554.2638666666667,0.13577814858185033,0.9921666666666117,0.01539934986376308
1.395,-2551.4121333333333,0.14246261601584162,0.9915564300411089,0.016569871625296998
1.41,-2548.7828,0.1466329693158537,0.9909904835390606,0.017235742494309376
1.425,-2545.7396,0.15713722304191613,0.9903100823044979,0.01907094452611309
1.44,-2542.598,0.1642223564791818,0.9896166666666378,0.020378015124233873
1.4549999999999998,-2539.527866666667,0.16965477147320784,0.9889420781892748,0.02179811070170224
1.47,-2535.878,0.18106826249969837,0.9881230452674666,0.02361302742499798
1.4849999999999999,-2532.4850666666666,0.19004599054200305,0.9873598765431911,0.025440402655005103
1.5,-2528.7397333333333,0.1958964773417362,0.9865436728394832,0.02649889964260055
1.515,-2524.5945333333334,0.2059721220239518,0.9855817901234375,0.029067115505861867
1.53,-2520.702,0.21584308390020693,0.9846773662551231,0.03142453088972776
1.545,-2516.5252,0.22402730145636024,0.9837518518518303,0.03300485548257412
1.56,-2512.138933333333,0.2350410115497693,0.9827098251028601,0.036032243327843716
1.575,-2507.2977333333333,0.24263371007881013,0.9815745370370227,0.03820941390029833
1.5899999999999999,-2502.6893333333333,0.25740553327380966,0.9804887860082059,0.04122863060705491
1.605,-2497.4148,0.2652176752367883,0.9792434156378506,0.04391842608731051
1.6199999999999999,-2491.7718666666665,0.27885024175908074,0.9779103395061526,0.047530180624466574
1.635,-2486.5801333333334,0.288674756564644,0.9766473765431933,0.05066374151532542
1.65,-2480.9730666666665,0.29934672423731096,0.9752963477366156,0.05414659536129498
1.665,-2474.5657333333334,0.31189101062909114,0.9737075102880477,0.05821400029624228
1.68,-2468.3865333333333,0.32537041410748746,0.972170833333324,0.06295143381876502
1.6949999999999998,-2462.3256,0.34163146122569304,0.9706565329217924,0.0681406603110163
1.71,-2455.156266666667,0.35316205258682465,0.9688474279835182,0.07307633780798509
1.7249999999999999,-2448.7697333333335,0.36135771626834423,0.9672134773662411,0.07773027000519793
1.74,-2441.610133333333,0.3809005173622102,0.9653704218106778,0.08443781517669094
1.755,-2433.3684,0.39576024601404297,0.9632015432098535,0.09110776767536995
1.77,-2425.9530666666665,0.40873210727305975,0.9612691872427803,0.09789689978055191
1.785,-2417.789333333333,0.4318834011995831,0.9590783436213699,0.10692989654699338
1.7999999999999998,-2409.8830666666668,0.4404679625012449,0.9569302983538917,0.11518549836877946
1.815,-2400.821066666667,0.45516940690170077,0.9543887345678755,0.12413107416893993
1.8299999999999998,-2392.1550666666667,0.466433350618899,0.9520411008230205,0.12971325149605512
1.845,-2382.6566666666668,0.491239021194576,0.9493623456789941,0.1440557380627582
1.8599999999999999,-2372.88,0.514842934814401,0.9464927983538864,0.15870655709245018
1.875,-2362.4418666666666,0.5201067735929302,0.9435018004115142,0.16969796866709716
1.89,-2352.4818666666665,0.5504918068698251,0.9406028806584338,0.18401063570266782
1.905,-2341.6608,0.5655205396658761,0.9373112654320918,0.201533720068542
1.92,-2330.2216,0.6017143120662235,0.9337651234567937,0.2261962533353895
1.9349999999999998,-2318.3436,0.6141444255647563,0.9298891460905352,0.2507888367073801
1.95,-2306.385333333333,0.6307249234090491,0.9261974794238812,0.2670330310721634
1.9649999999999999,-2293.451866666667,0.6620292501328299,0.9219174382716165,0.2995609802984066
1.98,-2280.8070666666667,0.6915580658358962,0.917692283950633,0.33343076879340083
